"","A","B","C","loss","t_c","m","omega","phi"
"190",9.85,-0.8,0.02,48.9193242663796,1997.60730901398,0.231808688615759,8.32540551708856,1.22196299804086
"191",9.925,-0.9,0.03,56.997917057884,1997.60045546967,0.148241692284743,7.20716421220762,5.6722631025452
"192",9.925,-0.9,0.04,57.1007951243785,1997.61067840929,0.168895409380396,11.2569399183073,2.0879227685507
"193",9.925,-0.9,0.05,57.2593146332492,1997.60621380331,0.193008593842387,8.32547542390724,0.668087919789215
"194",9.925,-0.9,0.02,57.3942293845,1997.61027058437,0.219770756457001,12.1744870213248,2.77711700671042
"195",9.925,-0.9,0.01,58.1200820598004,1997.62147434466,0.170342085883021,6.5483789393135,4.37489780203483
"196",10,-1,0.03,65.1344978231892,1997.60128291532,0.155582437074433,11.6512662849855,3.04958071206215
"197",10,-1,0.02,65.9537166089981,1997.60456527574,0.192499221519878,9.0432894215143,0.628895181425775
"198",10,-1,0.01,66.3468836383501,1997.60384168699,0.185888879994551,12.2021491047926,5.29664637920669
"199",9.7,-0.7,0.02,67.0781233925521,1997.60387635936,0.211057974242916,7.36423365298348,4.35374996361105
"200",9.7,-0.7,0.01,67.4320920000912,1997.60115180885,0.191941569621364,12.7747278764922,2.52393102186931
"201",9.7,-0.7,0.04,67.4955372704664,1997.60504109543,0.222601052777221,11.7324093914746,3.88779639943767
"202",10,-1,0.04,67.5292786327975,1997.62085151648,0.146467718637238,11.6046485341697,3.41283228710831
"203",9.7,-0.7,0.03,67.6038635537491,1997.60337470354,0.180008371671041,10.7222394878821,1.80080506351344
"204",10,-1,0.05,67.656323408318,1997.61902594692,0.215615158900619,7.12596610817127,5.28873206871342
"205",9.7,-0.7,0.05,68.470139422791,1997.61085545231,0.20560954871277,7.01415948822008,3.18704906979008
"206",9.775,-0.8,0.03,76.3207483148204,1997.6007173492,0.204571015201509,7.71540330109807,5.12516715253813
"207",9.775,-0.8,0.05,76.8265643227044,1997.6097744111,0.152161608853688,6.37974972840554,3.67357805960682
"208",9.775,-0.8,0.02,77.4611927371408,1997.60784441254,0.204000118809442,12.8965484796014,3.79819211726917
"209",9.775,-0.8,0.01,77.9727887313616,1997.60902559469,0.20715446320052,8.39979532419238,5.41470048374258
"210",9.775,-0.8,0.04,79.3240131455857,1997.61191674623,0.142388724628836,10.2921932212388,2.55566742477788
"211",9.85,-0.9,0.05,87.7798395858027,1997.60068424689,0.151897526315103,9.21430947767415,0.173938669914252
"212",9.85,-0.9,0.03,88.9496628647708,1997.6037903438,0.146792795912673,9.02321957358314,1.67726761993067
"213",9.85,-0.9,0.01,89.1981816935858,1997.60771420573,0.175703546435883,9.3742993279205,3.79048600171853
"214",9.85,-0.9,0.04,89.2747233737263,1997.61673714972,0.170615093999853,7.30316751427017,5.54742612298772
"215",9.85,-0.9,0.02,89.9612443480669,1997.61115298069,0.179492700969179,9.37471108425719,3.27160671590211
"216",9.925,-1,0.05,98.7390015218349,1997.60118829931,0.19830665482829,8.41673618687006,0.0454002859841437
